Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Rodri,es ESP,MF,Manchester City,28-120,1996,2,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
Rodrigo Bentancur,uy URU,MF,Tottenham,27-117,1997,7,5,393,4.4,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.4,4,28,2,0,0,0,0,0,0.08,0.02,0.1,0.08,0.1,Matches
Rodrigo Gomes,pt POR,"FW,MF",Wolves,21-105,2003,3,1,117,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,6,1,12,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
Rodrigo Muniz,br BRA,FW,Fulham,23-169,2001,7,3,291,3.2,1,1,2,1,0,0,0,0,1.4,1.4,0.5,2,2,8,12,0.31,0.31,0.62,0.31,0.62,0.44,0.17,0.61,0.44,0.61,Matches
Roman Dixon,eng ENG,DF,Everton,19-299,2004,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
Roméo Lavia,be BEL,MF,Chelsea,20-288,2004,2,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,2,2,0,0,0,0,0,0,0.55,0.55,0,0.55,Matches
Ross Barkley,eng ENG,MF,Aston Villa,30-320,1993,7,1,232,2.6,0,1,1,0,0,0,2,0,0.2,0.2,0.2,0.5,8,15,2,0,0.39,0.39,0,0.39,0.09,0.1,0.19,0.09,0.19,Matches
Ross Stewart,sct SCO,"FW,MF",Southampton,28-101,1996,4,1,132,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,1,5,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
Ryan Christie,sct SCO,MF,Bournemouth,29-241,1995,8,6,483,5.4,1,0,1,1,0,0,3,0,0.4,0.4,0.3,0.7,5,28,16,0.19,0,0.19,0.19,0.19,0.07,0.06,0.13,0.07,0.13,Matches
Ryan Fraser,sct SCO,FW,Southampton,30-239,1994,4,2,141,1.6,0,0,0,0,0,0,0,1,0,0,0.1,0.1,4,1,7,0,0,0,0,0,0.02,0.04,0.05,0.02,0.05,Matches
Ryan Gravenberch,nl NED,MF,Liverpool,22-157,2002,7,7,629,7,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,19,50,13,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08,Matches
Ryan Manning,ie IRL,"DF,FW",Southampton,28-128,1996,2,2,150,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,0,0,9,0,0,0,0,0,0.03,0.14,0.17,0.03,0.17,Matches
Ryan Trevitt,eng ENG,MF,Brentford,21-222,2003,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
Ryan Yates,eng ENG,MF,Nott'ham Forest,26-334,1997,7,3,449,5,0,0,0,0,0,0,2,0,0.5,0.5,0.4,0.9,9,11,2,0,0,0,0,0,0.09,0.08,0.17,0.09,0.17,Matches
Rúben Dias,pt POR,DF,Manchester City,27-159,1997,7,6,547,6.1,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,10,32,2,0,0,0,0,0,0.08,0.02,0.1,0.08,0.1,Matches
Sam Johnstone,eng ENG,GK,Wolves,31-209,1993,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
Sam Morsy,eg EGY,MF,Ipswich Town,33-040,1991,8,8,713,7.9,1,0,1,1,0,0,4,0,0.2,0.2,0.2,0.4,4,42,3,0.13,0,0.13,0.13,0.13,0.03,0.02,0.05,0.03,0.05,Matches
Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,29-026,1995,8,4,325,3.6,1,0,1,1,0,0,1,0,1.1,1.1,0.1,1.2,5,8,19,0.28,0,0.28,0.28,0.28,0.3,0.03,0.33,0.3,0.33,Matches
Samuel Amo-Ameyaw,eng ENG,DF,Southampton,18-094,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,2,0,0,0,0,0,0.18,0.62,0.8,0.18,0.8,Matches
Samuel Edozie,eng ENG,"DF,FW",Southampton,21-266,2003,2,0,65,0.7,0,0,0,0,0,0,1,0,0,0,0.1,0.1,6,4,23,0,0,0,0,0,0,0.14,0.14,0,0.14,Matches
Sander Berge,no NOR,MF,Fulham,26-249,1998,6,2,254,2.8,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,8,0,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
Sandro Tonali,it ITA,MF,Newcastle Utd,24-165,2000,6,3,295,3.3,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,1,13,8,0,0,0,0,0,0.21,0.06,0.27,0.21,0.27,Matches
Santiago Bueno,uy URU,DF,Wolves,25-346,1998,2,1,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
Sa?a Luki?,rs SRB,MF,Fulham,28-068,1996,7,7,547,6.1,0,0,0,0,0,0,4,0,0,0,0.3,0.3,4,28,1,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
Scott McTominay,sct SCO,MF,Manchester Utd,27-317,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,2,0,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
Sean Longstaff,eng ENG,MF,Newcastle Utd,26-356,1997,7,4,311,3.5,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,1,14,6,0,0,0,0,0,0.06,0.01,0.07,0.06,0.07,Matches
Sepp van den Berg,nl NED,DF,Brentford,22-305,2001,6,5,462,5.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,14,13,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,Matches
Simon Adingra,ci CIV,"FW,MF",Brighton,22-293,2002,5,1,137,1.5,1,1,2,1,0,0,0,0,0.3,0.3,0.5,0.8,5,2,35,0.66,0.66,1.31,0.66,1.31,0.22,0.31,0.53,0.22,0.53,Matches
Son Heung-min,kr KOR,FW,Tottenham,32-104,1992,6,6,518,5.8,3,2,5,3,0,0,0,0,1.7,1.7,1.8,3.5,24,37,78,0.52,0.35,0.87,0.52,0.87,0.29,0.31,0.6,0.29,0.6,Matches
Stephy Mavididi,eng ENG,FW,Leicester City,26-142,1998,8,5,472,5.2,2,0,2,2,0,0,0,0,0.7,0.7,0.7,1.4,18,21,38,0.38,0,0.38,0.38,0.38,0.14,0.13,0.27,0.14,0.27,Matches
Sávio,br BRA,FW,Manchester City,20-193,2004,5,4,291,3.2,0,2,2,0,0,0,1,0,0.8,0.8,1.5,2.3,32,13,47,0,0.62,0.62,0,0.62,0.24,0.47,0.71,0.24,0.71,Matches
Séamus Coleman,ie IRL,DF,Everton,36-009,1988,1,1,90,1,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,0,6,2,0,0,0,0,0,0.57,0,0.57,0.57,0.57,Matches
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-069,1997,4,1,80,0.9,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,2,1,7,0,0,0,0,0,0.31,0,0.31,0.31,0.31,Matches
Takehiro Tomiyasu,jp JPN,DF,Arsenal,25-350,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,0,0,0,0,0,0,2.37,0,2.37,2.37,2.37,Matches
Taylor Harwood-Bellis,eng ENG,DF,Southampton,22-264,2002,8,7,590,6.6,1,0,1,1,0,0,3,0,0.7,0.7,0.3,1,3,21,3,0.15,0,0.15,0.15,0.15,0.11,0.04,0.15,0.11,0.15,Matches
Thomas Partey,gh GHA,"MF,DF",Arsenal,31-129,1993,8,8,707,7.9,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.5,3,44,6,0.13,0,0.13,0.13,0.13,0.04,0.02,0.07,0.04,0.07,Matches
Tim Iroegbunam,eng ENG,MF,Everton,21-112,2003,6,4,383,4.3,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,5,10,7,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,Matches
Timo Werner,de GER,FW,Tottenham,28-228,1996,6,2,216,2.4,0,1,1,0,0,0,0,0,0.8,0.8,0.2,0.9,20,11,45,0,0.42,0.42,0,0.42,0.32,0.06,0.38,0.32,0.38,Matches
Timothy Castagne,be BEL,DF,Fulham,28-320,1995,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,Matches
Toby Collyer,eng ENG,MF,Manchester Utd,20-291,2004,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,2,2,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches
Tom Cairney,sct SCO,MF,Fulham,33-274,1991,6,0,108,1.2,0,0,0,0,0,0,2,0,0,0,0.4,0.4,4,14,4,0,0,0,0,0,0,0.34,0.34,0,0.34,Matches
Tommy Doyle,eng ENG,MF,Wolves,23-003,2001,5,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0.1,1,12,2,0,0,0,0,0,0.05,0.05,0.1,0.05,0.1,Matches
Tomá? Sou?ek,cz CZE,MF,West Ham,29-236,1995,8,6,519,5.8,2,0,2,2,0,0,3,0,2,2,0.4,2.4,3,21,19,0.35,0,0.35,0.35,0.35,0.34,0.08,0.42,0.34,0.42,Matches
Tosin Adarabioyo,eng ENG,DF,Chelsea,27-026,1997,3,1,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
Toti Gomes,pt POR,DF,Wolves,25-278,1999,5,5,450,5,0,1,1,0,0,0,2,0,0,0,0.5,0.5,3,9,2,0,0.2,0.2,0,0.2,0,0.1,0.1,0,0.1,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-013,1998,7,7,582,6.5,0,1,1,0,0,0,2,0,0.3,0.3,2.1,2.4,19,41,25,0,0.15,0.15,0,0.15,0.05,0.32,0.38,0.05,0.38,Matches
Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-107,1999,1,1,87,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,4,1,0,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches
Tyler Dibling,eng ENG,"FW,MF",Southampton,18-222,2006,8,5,448,5,1,0,1,1,0,0,3,0,0.9,0.9,0.8,1.7,24,19,29,0.2,0,0.2,0.2,0.2,0.19,0.15,0.34,0.19,0.34,Matches
Tyrick Mitchell,eng ENG,"DF,MF",Crystal Palace,25-049,1999,7,7,597,6.6,0,1,1,0,0,0,0,0,0.2,0.2,1.3,1.6,15,19,53,0,0.15,0.15,0,0.15,0.04,0.2,0.23,0.04,0.23,Matches
Valentino Livramento,eng ENG,DF,Newcastle Utd,21-343,2002,8,5,440,4.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,10,14,14,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,21-309,2002,8,8,682,7.6,0,0,0,0,0,0,1,0,0,0,0.3,0.3,11,20,19,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
Victor Lindelöf,se SWE,DF,Manchester Utd,30-095,1994,2,0,47,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
Virgil van Dijk,nl NED,DF,Liverpool,33-104,1991,7,7,630,7,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,31,0,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,Matches
Vitaliy Mykolenko,ua UKR,DF,Everton,25-144,1999,6,6,475,5.3,0,0,0,0,0,0,0,0,0,0,0.1,0.2,3,16,12,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
Vitaly Janelt,de GER,"MF,DF",Brentford,26-163,1998,8,8,634,7,0,1,1,0,0,0,1,0,0.2,0.2,0.5,0.7,5,22,8,0,0.14,0.14,0,0.14,0.02,0.07,0.1,0.02,0.1,Matches
Vitezslav Jaros,cz CZE,GK,Liverpool,23-089,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Vladimír Coufal,cz CZE,DF,West Ham,32-059,1992,4,2,200,2.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,6,4,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06,Matches
Wataru Endo,jp JPN,MF,Liverpool,31-254,1993,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.58,0.58,0,0.58,Matches
Wes Burns,wls WAL,FW,Ipswich Town,29-332,1994,6,5,343,3.8,0,0,0,0,0,0,1,0,0.2,0.2,1,1.2,11,2,34,0,0,0,0,0,0.05,0.26,0.31,0.05,0.31,Matches
Wesley Fofana,fr FRA,DF,Chelsea,23-308,2000,7,7,596,6.6,0,0,0,0,0,0,5,0,0,0,0.4,0.4,7,14,3,0,0,0,0,0,0.01,0.06,0.07,0.01,0.07,Matches
Wilfred Ndidi,ng NGA,MF,Leicester City,27-309,1996,8,8,702,7.8,0,4,4,0,0,0,3,0,0.2,0.2,1.3,1.5,5,23,33,0,0.51,0.51,0,0.51,0.03,0.16,0.19,0.03,0.19,Matches
Will Hughes,eng ENG,MF,Crystal Palace,29-186,1995,6,2,235,2.6,0,0,0,0,0,0,3,0,0,0,0,0.1,4,12,5,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02,Matches
William Osula,dk DEN,"FW,DF",Newcastle Utd,21-077,2003,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,Matches
William Saliba,fr FRA,DF,Arsenal,23-210,2001,8,8,659,7.3,0,0,0,0,0,0,2,1,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,Matches
William Smallbone,ie IRL,MF,Southampton,24-242,2000,4,3,241,2.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,2,8,12,0,0,0,0,0,0.11,0.11,0.23,0.11,0.23,Matches
Willy Boly,ci CIV,DF,Nott'ham Forest,33-260,1991,2,1,91,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,2,0,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
Wilson Odobert,fr FRA,FW,Tottenham,19-327,2004,3,2,162,1.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,13,10,18,0,0,0,0,0,0.23,0.03,0.27,0.23,0.27,Matches
Wout Faes,be BEL,DF,Leicester City,26-200,1998,8,8,720,8,1,0,1,1,0,0,1,0,0.8,0.8,0,0.8,3,23,1,0.12,0,0.12,0.12,0.12,0.1,0,0.11,0.1,0.11,Matches
Yankuba Minteh,gm GAM,"FW,MF",Brighton,20-090,2004,7,5,406,4.5,1,1,2,1,0,0,2,0,0.8,0.8,1.5,2.3,17,12,54,0.22,0.22,0.44,0.22,0.44,0.18,0.34,0.52,0.18,0.52,Matches
Yasin Ayari,se SWE,"MF,FW",Brighton,21-014,2003,6,2,282,3.1,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,5,12,18,0,0,0,0,0,0.17,0.06,0.23,0.17,0.23,Matches
Yehor Yarmoliuk,ua UKR,MF,Brentford,20-233,2004,5,1,130,1.4,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,5,4,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08,Matches
Yerson Mosquera,co COL,DF,Wolves,23-171,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09,Matches
Yoane Wissa,cd COD,FW,Brentford,28-047,1996,5,4,314,3.5,3,1,4,3,0,0,1,0,2.4,2.4,0.3,2.8,6,7,11,0.86,0.29,1.15,0.86,1.15,0.7,0.09,0.79,0.7,0.79,Matches
Youri Tielemans,be BEL,MF,Aston Villa,27-166,1997,8,8,713,7.9,0,3,3,0,0,0,1,0,0.3,0.3,2.1,2.4,7,56,8,0,0.38,0.38,0,0.38,0.04,0.27,0.31,0.04,0.31,Matches
Yukinari Sugawara,jp JPN,DF,Southampton,24-114,2000,8,8,625,6.9,1,0,1,1,0,0,2,0,0.3,0.3,1.4,1.7,10,33,24,0.14,0,0.14,0.14,0.14,0.04,0.2,0.24,0.04,0.24,Matches
Yunus Emre Konak,tr TUR,"MF,FW",Brentford,18-284,2006,3,0,19,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,1,0,0,0,0,0,0.72,0,0.72,0.72,0.72,Matches
Yves Bissouma,ml MLI,MF,Tottenham,28-051,1996,5,3,273,3,2,0,2,2,0,0,2,0,0.2,0.2,0.2,0.4,5,23,0,0.66,0,0.66,0.66,0.66,0.08,0.06,0.14,0.08,0.14,Matches
Álex Moreno,es ESP,DF,Nott'ham Forest,31-134,1993,4,4,288,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,4,7,8,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
?lkay Gündo?an,de GER,MF,Manchester City,33-362,1990,6,4,376,4.2,0,0,0,0,0,0,0,0,0.9,0.9,0.8,1.6,13,25,18,0,0,0,0,0,0.21,0.18,0.39,0.21,0.39,Matches
?ukasz Fabia?ski,pl POL,GK,West Ham,39-185,1985,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
