Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Bobby Reid,jm JAM,FW,Leicester City,31-261,1993,6,2,162,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,3,9,0,0,0,0,0,0.06,0.07,0.13,0.06,0.13,Matches
Boubakary Soumaré,fr FRA,MF,Leicester City,25-236,1999,2,0,15,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
Brajan Gruda,de GER,FW,Brighton,20-142,2004,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
Brennan Johnson,wls WAL,FW,Tottenham,23-150,2001,8,7,603,6.7,3,0,3,3,0,0,1,0,3.4,3.4,0.5,3.9,27,23,78,0.45,0,0.45,0.45,0.45,0.5,0.08,0.59,0.5,0.59,Matches
Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,30-042,1994,8,8,659,7.3,0,2,2,0,0,0,1,1,2,2,1.6,3.6,17,59,39,0,0.27,0.27,0,0.27,0.28,0.21,0.49,0.28,0.49,Matches
Bruno Guimar?es,br BRA,MF,Newcastle Utd,26-339,1997,8,8,710,7.9,0,1,1,0,0,0,2,0,0.5,0.5,0.6,1,12,54,9,0,0.13,0.13,0,0.13,0.06,0.07,0.13,0.06,0.13,Matches
Bryan Mbeumo,cm CMR,FW,Brentford,25-074,1999,8,8,719,8,6,0,6,5,1,1,2,0,2.9,2.1,1.7,3.8,30,24,64,0.75,0,0.75,0.63,0.63,0.36,0.22,0.58,0.26,0.48,Matches
Bukayo Saka,eng ENG,"MF,FW",Arsenal,23-045,2001,7,7,566,6.3,2,7,9,2,0,0,1,0,2,2,3.5,5.6,31,30,75,0.32,1.11,1.43,0.32,1.43,0.33,0.56,0.89,0.33,0.89,Matches
Caleb Okoli,it ITA,DF,Leicester City,23-099,2001,6,6,538,6,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,13,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
Callum Hudson-Odoi,eng ENG,FW,Nott'ham Forest,23-348,2000,7,5,481,5.3,1,0,1,1,0,0,1,0,0.6,0.6,0.9,1.4,31,16,41,0.19,0,0.19,0.19,0.19,0.11,0.16,0.27,0.11,0.27,Matches
Calvin Bassey,ng NGA,DF,Fulham,24-294,1999,8,8,720,8,0,0,0,0,0,0,3,0,0.2,0.2,0,0.2,6,22,2,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
Cameron Archer,eng ENG,FW,Southampton,23-091,2001,8,3,351,3.9,2,0,2,2,0,1,0,0,3.3,2.5,0,2.5,5,2,15,0.51,0,0.51,0.51,0.51,0.86,0,0.86,0.66,0.66,Matches
Cameron Burgess,au AUS,DF,Ipswich Town,28-365,1995,1,1,90,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,6,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
Caoimhín Kelleher,ie IRL,GK,Liverpool,25-332,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Carlos Alcaraz,ar ARG,MF,Southampton,21-325,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0,0,0,0,0,0.62,0.86,1.48,0.62,1.48,Matches
Carlos Baleba,cm CMR,MF,Brighton,20-291,2004,7,6,492,5.5,1,1,2,1,0,0,1,0,0.7,0.7,0.2,1,8,31,3,0.18,0.18,0.37,0.18,0.37,0.14,0.04,0.18,0.14,0.18,Matches
Carlos Forbs,pt POR,MF,Wolves,20-215,2004,3,1,111,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,4,6,14,0,0,0,0,0,0.09,0.03,0.12,0.09,0.12,Matches
Carlos Soler,es ESP,MF,West Ham,27-292,1997,5,0,154,1.7,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,2,9,3,0,0,0,0,0,0.12,0.04,0.15,0.12,0.15,Matches
Casemiro,br BRA,MF,Manchester Utd,32-240,1992,7,4,367,4.1,0,0,0,0,0,0,0,0,0.5,0.5,1.4,1.9,1,21,7,0,0,0,0,0,0.12,0.34,0.46,0.12,0.46,Matches
Chadi Riad,ma MAR,DF,Crystal Palace,21-125,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,Matches
